CLEARANCE_DISPLAY_ID,Item_Number
34544378,127483766
34544380,127498267
34544381,127498325
34544382,128808565
34544386,100970574
34544387,113484540
34544392,113484535
34544393,113940243
34544399,113940251
34544406,113940264
34544407,116089666
34544412,117590519
34544418,117590523
34544419,117590514
34544426,117590525
34544432,119295451
34544433,119518662
34544436,120348458
34541553,125806991
34541556,125806983
34541557,125824736
34541566,125826488
34541567,125899533
34541572,125901119
34542006,129533744
34542007,129533746
34542008,129543721
34542009,129594178
34542015,129628813
34542016,129778713
34542017,129943728
34542019,130414734
34542020,130398871
34542021,130464511
34542028,130479765
34542032,130519794
34542033,130569469
34542036,130608765
34542037,130608759
34542039,130648873
34542044,130650012
34542045,130650002
34542049,130854778
34542056,130855911
34542057,130855913
34542058,130978713
34542070,131224370
34542071,131285175
34542072,131508961
34542073,131548742
34542083,131649887
34542084,131684681
34542085,131729052
34542103,132229059
34542104,132260506
34542105,132373981
34542110,132374171
34542116,117714795
34542117,125709014
34542124,126073734
34542132,126450542
34542133,126584184
34542138,126648530
34574030,130324291
34574031,130324311
34574040,130324262
34574041,130324258
34574066,130324930
34574067,130324904
34574082,130324919
34574083,130333712
34574094,130333713
34574095,130338803
34574138,130344025
34574139,130344026
34574148,130348728
34574149,130324914
34574152,130379080
34574153,130378893
34574172,130379048
34574173,130383859
34574190,130383844
34574191,130383860
34574200,130384015
34574201,130384202
34574206,130384197
34574207,130393748
34574240,130393745
34574241,130393742
34574262,130393754
34574263,130394154
34574270,130399340
34574271,130394135
34574272,130419440
34574273,130419442
34574294,130419425
34574295,130438802
34574298,130499931
34574299,130500500
34574316,130498839
34574317,130519040
34574330,130520121
34574873,132462701
34574878,132479369
34574879,132496713
34574884,132542772
34574885,132542799
34574890,132585680
34574891,132606908
34574896,132667152
34574897,132669734
34574902,132711536
34574903,132711537
34574904,101087120
34574905,101302934
34574908,101302939
34574909,101303045
34574914,113149108
34574915,114870557
34574920,116060850
34574921,116380159
34574928,116873395
34574929,116873396
34574934,117704763
34574935,117730821
34574946,117773568
34574947,118672313
34574952,118740630
34574953,118781851
34574958,119243614
34574959,119484674
34574964,119484688
34574965,119580082
34574970,119580104
34574971,119609265
34574976,119655702
34574977,120481219
34574980,120481216
34574981,120481217
34574986,120514148
34574987,120518325
34576641,128880303
34576642,128898743
34576643,128899450
34576644,128899406
34576645,128911422
34576766,128934395
34576767,128939312
34576820,128940834
34576821,128943623
34576834,128943692
34576835,128943834
34576844,128946964
34576845,128946749
34576848,128970007
34576849,128981044
34576850,128981163
34576851,128981354
34576852,128999674
34576853,129001566
34576868,129033829
34576869,129054520
34576884,129058918
34576885,129063775
34576892,129084097
34576893,129119886
34576900,129120116
34576901,129120059
34576914,129120063
34576915,129120058
34576918,129120056
34576919,129120067
34576924,129120061
34576925,129120799
34576936,129121646
34576937,129128759
34576942,129133948
34576943,129169318
34576948,129175533
34576949,129199905
34575624,128996167
34575625,129001236
34575634,129001234
34575635,129001229
34575646,129001326
34575647,129001329
34575656,129001877
34575657,129023672
34575664,129023671
34575665,129023771
34575672,129028898
34575673,129028893
34575674,129029482
34575675,129029491
34575676,129038778
34575677,129048666
34575686,129048663
34575687,129048658
34575692,129048662
34575693,129048659
34575694,129053685
34575695,129053698
34575696,129053686
34575697,129053688
34575706,129053682
34575707,129054653
34575712,129054649
34575713,129054853
34575718,129055951
34575719,129059052
34575724,129059043
34575725,129059046
34575730,129059038
34575731,129059056
34575736,129059041
34575737,129059058
34578314,126554139
34578315,126554137
34578326,126594476
34576177,128158615
34576180,128158618
34576181,128158626
34576186,128158610
34576187,128268616
34576190,128279124
34576191,128309054
34576192,128363994
34576193,128383698
34576204,128408638
34576205,128429146
34576210,128429149
34576211,128429154
34576218,128429157
34576219,128488688
34576220,128513619
34576221,128513617
34576224,128513610
34576225,128794283
34576230,128797689
34576231,128797866
34576240,128796068
34576241,128802074
34576246,128803654
34576247,128808168
34576248,128808245
34576249,128809006
34576258,128818197
34576259,128819563
34576264,128819923
34576265,128819922
34576268,128819916
34576269,128823723
34576274,128839592
34576275,128839589
34576280,128839830
34576281,128841460
34576286,128843159
34576287,128862420
34576321,127433727
34576797,127438274
34576802,127438275
34576803,127438285
34576806,127438318
34576807,127438295
34576812,127438276
34576813,127448562
34576814,127454363
34576815,127474344
34576822,127484451
34576823,127485791
34576826,127485792
34576827,127485785
34576832,127485807
34576833,127485778
34576838,127485825
34576839,127485803
34576842,127485784
34576843,127485777
34576854,127516757
34576855,127516766
34576860,127516753
34576861,127516763
34576866,127516759
34576867,127516769
34576874,127516756
34576875,127517987
34576878,127517994
34576879,127517959
34576890,127517977
34576891,127518011
34576964,127517973
34576965,127517992
34576976,127528659
34576977,127528988
34576984,127528983
34576985,127534803
34576998,127538827
34577051,129463813
34577058,129538712
34577059,129578713
34577064,129588714
34577065,129594234
34577066,129598727
34577067,129724322
34577076,129748742
34577077,129748757
34577078,129758725
34577079,129793714
34577084,130038727
34577085,130128714
34577090,130245056
34577091,130248771
34577096,130248925
34577097,130284140
34577104,130293992
34577105,130294326
34577106,130294827
34577107,130294828
34577116,130358712
34577117,130378719
34577124,130414657
34577125,130428941
34577128,130439963
34577129,130468827
34577134,130468832
34577135,130508739
34577138,130528713
34577139,130584084
34577144,130611639
34577145,130611643
34577150,130634125
34577151,130634124
34577156,130634134
34577157,130634135
34577162,130634132
34577163,130634141
34577415,126596334
34577426,126596335
34577427,126596300
34577434,126619306
34577435,126623826
34577438,126623828
34577439,126623821
34577450,126623816
34577451,126638862
34577454,126649069
34577455,126673823
34577462,126684188
34577463,126964622
34577470,126988860
34577471,126988831
34577480,126988818
34577481,126990785
34577484,126995565
34577485,126990783
34577488,127093986
34577489,127108586
34577496,127108591
34577497,127128994
34577504,127128996
34577505,127140576
34577508,127145652
34577509,127145128
34577516,127153740
34577517,127248962
34577520,127288192
34577521,127349116
34577528,127363538
34577529,127435297
34577534,127435298
34577535,127449493
34577540,127454463
34577541,127488566
34577558,127516748
34577559,127516749
34578384,127379844
34578385,127381522
34578388,127381524
34578389,127428540
34578394,127428535
34578395,127428546
34578400,127458996
34578401,127458997
34578406,127473658
34591071,118842059
34591078,118842030
34591079,119304297
34591084,120974715
34591085,120974713
34591090,120974711
34591091,121139476
34591096,121158419
34591097,121173555
34591106,121203344
34591107,121370386
34591112,121662644
34591113,121795140
34591114,121795317
34591115,121959138
34591120,122003553
34591121,122003537
34591128,122199071
34591129,122199069
34591134,122688545
34591135,122688547
34591142,122688546
34591143,122817461
34591148,122853912
34591149,122853905
34591154,122853901
34591155,122853898
34591160,123254118
34595820,123665043
34595821,123665148
34595828,123698975
34595829,123698974
34595836,123698967
34595837,123868546
34595844,123868552
34595845,123868551
34595852,123868531
34595853,124216670
34595860,124215292
34595861,124538402
34595868,124578399
34595869,124597190
34595882,124597173
34595883,124678683
34595886,124828614
34595887,124828551
34595892,124828605
34595893,124828650
34595902,124828643
34595903,124828607
34595910,124828571
34595911,125073568
34595926,125073560
34595927,125223488
