Item_Number,Zone,Pcid
101003705,104,36022948
101003705,105,36022949
101003705,106,36022950
101003705,107,36022951
101003705,108,36022952
101003705,109,36022953
101003705,110,36022954
101003705,111,36022955
101003705,112,36022956
101003705,113,36022957
101003705,114,36022958
101003705,99,36022943
101003709,100,36022992
101003709,101,36022993
101003709,102,36022994
101003709,103,36022995
101003709,104,36022996
101003709,105,36022997
101003709,106,36022998
101003709,107,36022999
101003709,108,36023000
101003709,109,36023001
101003709,110,36023002
101003709,111,36023003
101003709,112,36023004
101003709,113,36023005
101003709,114,36023006
101003709,99,36022991
101048785,100,36022848
101048785,101,36022849
101048785,102,36022850
101048785,103,36022851
101048785,104,36022852
101048785,105,36022853
101048785,106,36022854
101048785,107,36022855
101048785,108,36022856
101048785,109,36022857
101048785,110,36022858
101048785,111,36022859
101048785,112,36022860
101048785,113,36022861
101048785,114,36022862
101048785,99,36022847
101048791,100,36022832
101048791,101,36022833
101048791,102,36022834
101048791,103,36022835
101048791,104,36022836
101048791,105,36022837
101048791,106,36022838
101048791,107,36022839
101048791,108,36022840
101048791,109,36022841
101048791,110,36022842
101048791,111,36022843
101048791,112,36022844
101048791,113,36022845
101048791,114,36022846
101048791,99,36022831
101074373,100,36022880
101074373,101,36022881
101074373,102,36022882
101074373,103,36022883
101074373,104,36022884
101074373,105,36022885
101074373,106,36022886
101074373,107,36022887
101074373,108,36022888
101074373,109,36022889
101074373,110,36022890
101074373,111,36022891
101074373,112,36022892
101074373,113,36022893
