OptionID,DespatchMonth,PartnerID,Store_Name,DC,StoreID,SalesOrder,SalesOrdtype,CancelId,CancelDate,Units_by_size,Error_desc,Buying_Group,Business_Model_Name,OrderRowCode,OriginalErrorDate,Assigned_Team,Brand_Code,OB_Name,OB_Tab_Name
115873938,01-MAR-23,30026,Nordstrom FLS,,,MM8OZANF,MCO,6,09-JAN-23,L:0|M:0|S:0|XL:0|XS:0|XXL:0,ORA-01403: no data found
ORA-01422: exact fetch returns more than requested number of rows - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT - 100,Jersey TM,Topman,#MM8OZA,17-FEB-23,Commercial Team,TM,Jersey,HW Jersey

115873938,01-MAR-23,30067,Nordstrom Canada FLS,,,MM8OZANB,MCO,6,09-JAN-23,L:0|M:0|S:0|XL:0|XS:0|XXL:0,ORA-01403: no data found
ORA-01422: exact fetch returns more than requested number of rows - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT - 100,Jersey TM,Topman,#MM8OZA,17-FEB-23,Commercial Team,TM,Jersey,HW Jersey

115873938,01-MAR-23,30072,Nordstrom DIR West,,,MM8OZANJ,MCO,6,09-JAN-23,L:0|M:0|S:0|XL:0|XS:0|XXL:0,ORA-01403: no data found
ORA-01422: exact fetch returns more than requested number of rows - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT - 100,Jersey TM,Topman,#MM8OZA,17-FEB-23,Commercial Team,TM,Jersey,HW Jersey

116053088,01-FEB-23,30013,LaModa,,,3PDQE8LM,MCO,,,UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0,Cannot cancel non-existing Sales Order.,Formal Wear TS,Topshop,#3PDQE8,17-FEB-23,Wholesale Team,TS,APPAREL 2,Formal
116053088,01-FEB-23,30025,Nordstrom DIR East,,,3PDQE8NI,MCO,,,UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0|UK18:0,Quantity can only be 0 when cancelling the Sales Order.,Formal Wear TS,Topshop,#3PDQE8,17-FEB-23,Wholesale Team,TS,APPAREL 2,Formal
116053088,01-FEB-23,30026,Nordstrom FLS,,,3PDQE8NF,MCO,,,UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0|UK18:0,Sum of units by size does not match total units.,Formal Wear TS,Topshop,#3PDQE8,17-FEB-23,Wholesale Team,TS,APPAREL 2,Formal
116053088,01-FEB-23,30029,The Iconic,,,3PDQE8IC,MCO,,,UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0|UK18:0|UK4:0,Cannot cancel non-existing Sales Order.,Formal Wear TS,Topshop,#3PDQE8,17-FEB-23,Wholesale Team,TS,APPAREL 2,Formal
116053088,01-FEB-23,30045,Yoox,,,3PDQE8YX,MCO,,,UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0|UK18:0|UK4:0,Cannot cancel non-existing Sales Order.,Formal Wear TS,Topshop,#3PDQE8,17-FEB-23,Wholesale Team,TS,APPAREL 2,Formal
116053088,01-FEB-23,30067,Nordstrom Canada FLS,,,3PDQE8NB,MCO,,,UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0|UK18:0,Quantity can only be 0 when cancelling the Sales Order.,Formal Wear TS,Topshop,#3PDQE8,17-FEB-23,Wholesale Team,TS,APPAREL 2,Formal
116053088,01-FEB-23,30072,Nordstrom DIR West,,,3PDQE8NJ,MCO,,,UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0|UK18:0,Quantity can only be 0 when cancelling the Sales Order.,Formal Wear TS,Topshop,#3PDQE8,17-FEB-23,Wholesale Team,TS,APPAREL 2,Formal
116053089,01-FEB-23,30022,Namshi,,,PX8QEHNM,MCO,,,UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0|UK18:0,Cannot cancel non-existing Sales Order.,Formal Wear TS,Topshop,#PX8QEH,17-FEB-23,Wholesale Team,TS,APPAREL 2,Formal
116053089,01-FEB-23,30025,Nordstrom DIR East,,,PX8QEHNI,MCO,,,UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0|UK18:0,Quantity can only be 0 when cancelling the Sales Order.,Formal Wear TS,Topshop,#PX8QEH,17-FEB-23,Wholesale Team,TS,APPAREL 2,Formal
116053089,01-FEB-23,30072,Nordstrom DIR West,,,PX8QEHNJ,MCO,,,UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0|UK18:0,Quantity can only be 0 when cancelling the Sales Order.,Formal Wear TS,Topshop,#PX8QEH,17-FEB-23,Wholesale Team,TS,APPAREL 2,Formal
