Item_Number,Barcodes
143713720,2200004904917
143713721,2200004904924
143713722,2200004904931
143713726,2200004904948
143713729,2200004904955
143713730,2200004904962
143713733,2200004904979
143713734,2200004904986
143713738,2200004904993
143713742,2200004905006
143713743,2200004905013
143713745,2200004905020
143713746,2200004905037
143713748,2200004905044
143713750,2200004905051
143713751,2200004905068
143713754,2200004905075
143713756,2200004905082
143713759,2200004905099
143713762,2200004905105
143713764,2200004905112
143713765,2200004905129
143713766,2200004905136
143713767,2200004905143
143713768,2200004905150
143713770,2200004905167
143713771,2200004905174
143713773,2200004905181
143713776,2200004905198
143713778,2200004905204
143713780,2200004905211
143713781,2200004905228
143713784,2200004905235
143713787,2200004905242
143713789,2200004905259
143713790,2200004905266
143713794,2200004905273
143713798,2200004905280
143713800,2200004905297
143713801,2200004905303
143713802,2200004905310
143713803,2200004905327
143713807,2200004905334
143713810,2200004905341
143713811,2200004905358
143713813,2200004905365
143713814,2200004905372
143713815,2200004905389
143713817,2200004905396
143713818,2200004905402
143713821,2200004905419
143713822,2200004905426
143713824,2200004905433
143713827,2200004905440
143713831,2200004905457
143713832,2200004905464
143713833,2200004905471
143713835,2200004905488
143713836,2200004905495
143713838,2200004905501
143713839,2200004905518
143713843,2200004905525
143713849,2200004905532
143713850,2200004905549
143713851,2200004905556
143713852,2200004905563
143713855,2200004905570
143713856,2200004905587
143713859,2200004905594
143713860,2200004905600
143713861,2200004905617
143713864,2200004905624
143713865,2200004905631
143713867,2200004905648
143713870,2200004905655
143713871,2200004905662
143713872,2200004905679
143713875,2200004905686
143713877,2200004905693
143713881,2200004905709
143713882,2200004905716
143713884,2200004905723
143713885,2200004905730
143713887,2200004905747
143713888,2200004905754
143713891,2200004905761
143713892,2200004905778
143713899,2200004905785
143713900,2200004905792
143713901,2200004905808
143713903,2200004905815
143713905,2200004905822
143713907,2200004905839
143713909,2200004905846
143713910,2200004905853
143713911,2200004905860
143713913,2200004905877
143713914,2200004905884
143713917,2200004905891
143713920,2200004905907
143713923,2200004905914
143713924,2200004905921
143713925,2200004905938
143713927,2200004905945
143713931,2200004905952
143713933,2200004905969
143713934,2200004905976
143713936,2200004905983
143713937,2200004905990
143713938,2200004906003
143713940,2200004906010
143713943,2200004906027
143713948,2200004906034
143713950,2200004906041
143713951,2200004906058
143713953,2200004906065
143713955,2200004906072
143713957,2200004906089
143713958,2200004906096
143713959,2200004906102
143713962,2200004906119
143713963,2200004906126
143713967,2200004906133
143713968,2200004906140
143713970,2200004906157
143713972,2200004906164
143713973,2200004906171
143713976,2200004906188
143713977,2200004906195
143713979,2200004906201
143713982,2200004906218
143713983,2200004906225
143713984,2200004906232
143713986,2200004906249
143713988,2200004906256
143713989,2200004906263
143713993,2200004906270
143713998,2200004906287
143713999,2200004906294
143714001,2200004906300
143714004,2200004906317
143714005,2200004906324
143714007,2200004906331
143714008,2200004906348
143714010,2200004906355
143714012,2200004906362
143714015,2200004906379
143714017,2200004906386
143714018,2200004906393
143714020,2200004906409
143714021,2200004906416
143714023,2200004906423
143714025,2200004906430
143714027,2200004906447
143714028,2200004906454
143714031,2200004906461
143714033,2200004906478
143714036,2200004906485
143714037,2200004906492
143714039,2200004906508
143714042,2200004906515
143714043,2200004906522
143714047,2200004906539
143714048,2200004906546
143714051,2200004906553
143714053,2200004906560
143714055,2200004906577
143714057,2200004906584
143714058,2200004906591
143714061,2200004906607
143714062,2200004906614
143714065,2200004906621
143714067,2200004906638
143714069,2200004906645
143714070,2200004906652
143714071,2200004906669
143714073,2200004906676
143714074,2200004906683
143714076,2200004906690
143714079,2200004906706
143714080,2200004906713
143714081,2200004906720
143714086,2200004906737
143714088,2200004906744
143714089,2200004906751
143714093,2200004906768
143714095,2200004906775
143714096,2200004906782
143714098,2200004906799
143714100,2200004906805
143714104,2200004906812
143714105,2200004906829
143714107,2200004906836
143714108,2200004906843
143714111,2200004906850
143714112,2200004906867
143714117,2200004906874
143714118,2200004906881
143714119,2200004906898
143714120,2200004906904
143714121,2200004906911
143714122,2200004906928
143714123,2200004906935
143714125,2200004906942
143714128,2200004906959
143714129,2200004906966
143714131,2200004906973
143714136,2200004906980
143714140,2200004906997
143714143,2200004907000
